1001000,200,1000000,100,1002000,300,999000,400
1001000,250,1000000,100,1002000,300,999000,400
1001000,250,1000000,75,1002000,300,999000,400
1001000,250,1000000,75,1002000,300,999000,400
1001000,250,1000000,75,1002000,300,999000,450
1002000,300,1000000,75,1003000,250,999000,450
1002000,300,1000000,25,1003000,250,999000,450
1002000,300,1000000,25,1003000,250,999000,450
1001500,80,1000000,25,1002000,300,999000,450
1001500,80,1000000,25,1002000,300,999000,450
1001500,80,1000000,25,1002000,300,998000,350
1001500,80,1000000,25,1002000,300,999500,60
